"title","Q_cfs_log_round","wq_orig"
"Phosphorus Alafia R at Lithia",-8.017,NA
"Phosphorus Alafia R at Lithia",-8.016,NA
"Phosphorus Alafia R at Lithia",-8.015,NA
"Phosphorus Alafia R at Lithia",-8.014,NA
"Phosphorus Alafia R at Lithia",-8.013,NA
"Phosphorus Alafia R at Lithia",-8.012,NA
"Phosphorus Alafia R at Lithia",-8.011,NA
"Phosphorus Alafia R at Lithia",-8.01,NA
"Phosphorus Alafia R at Lithia",-8.009,NA
"Phosphorus Alafia R at Lithia",-8.008,NA
"Phosphorus Alafia R at Lithia",-8.007,NA
"Phosphorus Alafia R at Lithia",-8.006,NA
"Phosphorus Alafia R at Lithia",-8.005,NA
"Phosphorus Alafia R at Lithia",-8.004,NA
"Phosphorus Alafia R at Lithia",-8.003,NA
"Phosphorus Alafia R at Lithia",-8.002,NA
"Phosphorus Alafia R at Lithia",-8.001,NA
"Phosphorus Alafia R at Lithia",-8,NA
"Phosphorus Alafia R at Lithia",-7.999,NA
"Phosphorus Alafia R at Lithia",-7.998,NA
"Phosphorus Alafia R at Lithia",-7.997,NA
"Phosphorus Alafia R at Lithia",-7.996,NA
"Phosphorus Alafia R at Lithia",-7.995,NA
"Phosphorus Alafia R at Lithia",-7.994,NA
"Phosphorus Alafia R at Lithia",-7.993,NA
"Phosphorus Alafia R at Lithia",-7.992,NA
"Phosphorus Alafia R at Lithia",-7.991,NA
"Phosphorus Alafia R at Lithia",-7.99,NA
"Phosphorus Alafia R at Lithia",-7.989,NA
"Phosphorus Alafia R at Lithia",-7.988,NA
"Phosphorus Alafia R at Lithia",-7.987,NA
"Phosphorus Alafia R at Lithia",-7.986,NA
"Phosphorus Alafia R at Lithia",-7.985,NA
"Phosphorus Alafia R at Lithia",-7.984,NA
"Phosphorus Alafia R at Lithia",-7.983,NA
"Phosphorus Alafia R at Lithia",-7.982,NA
"Phosphorus Alafia R at Lithia",-7.981,NA
"Phosphorus Alafia R at Lithia",-7.98,NA
"Phosphorus Alafia R at Lithia",-7.979,NA
"Phosphorus Alafia R at Lithia",-7.978,NA
"Phosphorus Alafia R at Lithia",-7.977,NA
"Phosphorus Alafia R at Lithia",-7.976,NA
"Phosphorus Alafia R at Lithia",-7.975,NA
"Phosphorus Alafia R at Lithia",-7.974,NA
"Phosphorus Alafia R at Lithia",-7.973,NA
"Phosphorus Alafia R at Lithia",-7.972,NA
"Phosphorus Alafia R at Lithia",-7.971,NA
"Phosphorus Alafia R at Lithia",-7.97,NA
"Phosphorus Alafia R at Lithia",-7.969,NA
"Phosphorus Alafia R at Lithia",-7.968,NA
"Phosphorus Alafia R at Lithia",-7.967,NA
"Phosphorus Alafia R at Lithia",-7.966,NA
"Phosphorus Alafia R at Lithia",-7.965,NA
"Phosphorus Alafia R at Lithia",-7.964,NA
"Phosphorus Alafia R at Lithia",-7.963,NA
"Phosphorus Alafia R at Lithia",-7.962,NA
"Phosphorus Alafia R at Lithia",-7.961,NA
"Phosphorus Alafia R at Lithia",-7.96,NA
"Phosphorus Alafia R at Lithia",-7.959,NA
"Phosphorus Alafia R at Lithia",-7.958,NA
"Phosphorus Alafia R at Lithia",-7.957,NA
"Phosphorus Alafia R at Lithia",-7.956,NA
"Phosphorus Alafia R at Lithia",-7.955,NA
"Phosphorus Alafia R at Lithia",-7.954,NA
"Phosphorus Alafia R at Lithia",-7.953,NA
"Phosphorus Alafia R at Lithia",-7.952,NA
"Phosphorus Alafia R at Lithia",-7.951,NA
"Phosphorus Alafia R at Lithia",-7.95,NA
"Phosphorus Alafia R at Lithia",-7.949,NA
"Phosphorus Alafia R at Lithia",-7.948,NA
"Phosphorus Alafia R at Lithia",-7.947,NA
"Phosphorus Alafia R at Lithia",-7.946,NA
"Phosphorus Alafia R at Lithia",-7.945,NA
"Phosphorus Alafia R at Lithia",-7.944,NA
"Phosphorus Alafia R at Lithia",-7.943,NA
"Phosphorus Alafia R at Lithia",-7.942,NA
"Phosphorus Alafia R at Lithia",-7.941,NA
"Phosphorus Alafia R at Lithia",-7.94,NA
"Phosphorus Alafia R at Lithia",-7.939,NA
"Phosphorus Alafia R at Lithia",-7.938,NA
"Phosphorus Alafia R at Lithia",-7.937,NA
"Phosphorus Alafia R at Lithia",-7.936,NA
"Phosphorus Alafia R at Lithia",-7.935,NA
"Phosphorus Alafia R at Lithia",-7.934,NA
"Phosphorus Alafia R at Lithia",-7.933,NA
"Phosphorus Alafia R at Lithia",-7.932,NA
"Phosphorus Alafia R at Lithia",-7.931,NA
"Phosphorus Alafia R at Lithia",-7.93,NA
"Phosphorus Alafia R at Lithia",-7.929,NA
"Phosphorus Alafia R at Lithia",-7.928,NA
"Phosphorus Alafia R at Lithia",-7.927,NA
"Phosphorus Alafia R at Lithia",-7.926,NA
"Phosphorus Alafia R at Lithia",-7.925,NA
"Phosphorus Alafia R at Lithia",-7.924,NA
"Phosphorus Alafia R at Lithia",-7.923,NA
"Phosphorus Alafia R at Lithia",-7.922,NA
"Phosphorus Alafia R at Lithia",-7.921,NA
"Phosphorus Alafia R at Lithia",-7.92,NA
"Phosphorus Alafia R at Lithia",-7.919,NA
"Phosphorus Alafia R at Lithia",-7.918,NA
"Phosphorus Alafia R at Lithia",-7.917,NA
"Phosphorus Alafia R at Lithia",-7.916,NA
"Phosphorus Alafia R at Lithia",-7.915,NA
"Phosphorus Alafia R at Lithia",-7.914,NA
"Phosphorus Alafia R at Lithia",-7.913,NA
"Phosphorus Alafia R at Lithia",-7.912,NA
"Phosphorus Alafia R at Lithia",-7.911,NA
"Phosphorus Alafia R at Lithia",-7.91,NA
"Phosphorus Alafia R at Lithia",-7.909,NA
"Phosphorus Alafia R at Lithia",-7.908,NA
"Phosphorus Alafia R at Lithia",-7.907,NA
"Phosphorus Alafia R at Lithia",-7.906,NA
"Phosphorus Alafia R at Lithia",-7.905,NA
"Phosphorus Alafia R at Lithia",-7.904,NA
"Phosphorus Alafia R at Lithia",-7.903,NA
"Phosphorus Alafia R at Lithia",-7.902,NA
"Phosphorus Alafia R at Lithia",-7.901,NA
"Phosphorus Alafia R at Lithia",-7.9,NA
"Phosphorus Alafia R at Lithia",-7.899,NA
"Phosphorus Alafia R at Lithia",-7.898,NA
"Phosphorus Alafia R at Lithia",-7.897,NA
"Phosphorus Alafia R at Lithia",-7.896,NA
"Phosphorus Alafia R at Lithia",-7.895,NA
"Phosphorus Alafia R at Lithia",-7.894,NA
"Phosphorus Alafia R at Lithia",-7.893,NA
"Phosphorus Alafia R at Lithia",-7.892,NA
"Phosphorus Alafia R at Lithia",-7.891,NA
"Phosphorus Alafia R at Lithia",-7.89,NA
"Phosphorus Alafia R at Lithia",-7.889,NA
"Phosphorus Alafia R at Lithia",-7.888,NA
"Phosphorus Alafia R at Lithia",-7.887,NA
"Phosphorus Alafia R at Lithia",-7.886,NA
"Phosphorus Alafia R at Lithia",-7.885,NA
"Phosphorus Alafia R at Lithia",-7.884,NA
"Phosphorus Alafia R at Lithia",-7.883,NA
"Phosphorus Alafia R at Lithia",-7.882,NA
"Phosphorus Alafia R at Lithia",-7.881,NA
"Phosphorus Alafia R at Lithia",-7.88,NA
"Phosphorus Alafia R at Lithia",-7.879,NA
"Phosphorus Alafia R at Lithia",-7.878,NA
"Phosphorus Alafia R at Lithia",-7.877,NA
"Phosphorus Alafia R at Lithia",-7.876,NA
"Phosphorus Alafia R at Lithia",-7.875,NA
"Phosphorus Alafia R at Lithia",-7.874,NA
"Phosphorus Alafia R at Lithia",-7.873,NA
"Phosphorus Alafia R at Lithia",-7.872,NA
"Phosphorus Alafia R at Lithia",-7.871,NA
"Phosphorus Alafia R at Lithia",-7.87,NA
"Phosphorus Alafia R at Lithia",-7.869,NA
"Phosphorus Alafia R at Lithia",-7.868,NA
"Phosphorus Alafia R at Lithia",-7.867,NA
"Phosphorus Alafia R at Lithia",-7.866,NA
"Phosphorus Alafia R at Lithia",-7.865,NA
"Phosphorus Alafia R at Lithia",-7.864,NA
"Phosphorus Alafia R at Lithia",-7.863,NA
"Phosphorus Alafia R at Lithia",-7.862,NA
"Phosphorus Alafia R at Lithia",-7.861,NA
"Phosphorus Alafia R at Lithia",-7.86,NA
"Phosphorus Alafia R at Lithia",-7.859,NA
"Phosphorus Alafia R at Lithia",-7.858,NA
"Phosphorus Alafia R at Lithia",-7.857,NA
"Phosphorus Alafia R at Lithia",-7.856,NA
"Phosphorus Alafia R at Lithia",-7.855,NA
"Phosphorus Alafia R at Lithia",-7.854,NA
"Phosphorus Alafia R at Lithia",-7.853,NA
"Phosphorus Alafia R at Lithia",-7.852,NA
"Phosphorus Alafia R at Lithia",-7.851,NA
"Phosphorus Alafia R at Lithia",-7.85,NA
"Phosphorus Alafia R at Lithia",-7.849,NA
"Phosphorus Alafia R at Lithia",-7.848,NA
"Phosphorus Alafia R at Lithia",-7.847,NA
"Phosphorus Alafia R at Lithia",-7.846,NA
"Phosphorus Alafia R at Lithia",-7.845,NA
"Phosphorus Alafia R at Lithia",-7.844,NA
"Phosphorus Alafia R at Lithia",-7.843,NA
"Phosphorus Alafia R at Lithia",-7.842,NA
"Phosphorus Alafia R at Lithia",-7.841,NA
"Phosphorus Alafia R at Lithia",-7.84,NA
"Phosphorus Alafia R at Lithia",-7.839,NA
"Phosphorus Alafia R at Lithia",-7.838,NA
"Phosphorus Alafia R at Lithia",-7.837,NA
"Phosphorus Alafia R at Lithia",-7.836,NA
"Phosphorus Alafia R at Lithia",-7.835,NA
"Phosphorus Alafia R at Lithia",-7.834,NA
"Phosphorus Alafia R at Lithia",-7.833,NA
"Phosphorus Alafia R at Lithia",-7.832,NA
"Phosphorus Alafia R at Lithia",-7.831,NA
"Phosphorus Alafia R at Lithia",-7.83,NA
"Phosphorus Alafia R at Lithia",-7.829,NA
"Phosphorus Alafia R at Lithia",-7.828,NA
"Phosphorus Alafia R at Lithia",-7.827,NA
"Phosphorus Alafia R at Lithia",-7.826,NA
"Phosphorus Alafia R at Lithia",-7.825,NA
"Phosphorus Alafia R at Lithia",-7.824,NA
"Phosphorus Alafia R at Lithia",-7.823,NA
"Phosphorus Alafia R at Lithia",-7.822,NA
"Phosphorus Alafia R at Lithia",-7.821,NA
"Phosphorus Alafia R at Lithia",-7.82,NA
"Phosphorus Alafia R at Lithia",-7.819,NA
"Phosphorus Alafia R at Lithia",-7.818,NA
"Phosphorus Alafia R at Lithia",-7.817,NA
"Phosphorus Alafia R at Lithia",-7.816,NA
"Phosphorus Alafia R at Lithia",-7.815,NA
"Phosphorus Alafia R at Lithia",-7.814,NA
"Phosphorus Alafia R at Lithia",-7.813,NA
"Phosphorus Alafia R at Lithia",-7.812,NA
"Phosphorus Alafia R at Lithia",-7.811,NA
"Phosphorus Alafia R at Lithia",-7.81,NA
"Phosphorus Alafia R at Lithia",-7.809,NA
"Phosphorus Alafia R at Lithia",-7.808,NA
"Phosphorus Alafia R at Lithia",-7.807,NA
"Phosphorus Alafia R at Lithia",-7.806,NA
"Phosphorus Alafia R at Lithia",-7.805,NA
"Phosphorus Alafia R at Lithia",-7.804,NA
"Phosphorus Alafia R at Lithia",-7.803,NA
"Phosphorus Alafia R at Lithia",-7.802,NA
"Phosphorus Alafia R at Lithia",-7.801,NA
"Phosphorus Alafia R at Lithia",-7.8,NA
"Phosphorus Alafia R at Lithia",-7.799,NA
"Phosphorus Alafia R at Lithia",-7.798,NA
"Phosphorus Alafia R at Lithia",-7.797,NA
"Phosphorus Alafia R at Lithia",-7.796,NA
"Phosphorus Alafia R at Lithia",-7.795,NA
"Phosphorus Alafia R at Lithia",-7.794,NA
"Phosphorus Alafia R at Lithia",-7.793,NA
"Phosphorus Alafia R at Lithia",-7.792,NA
"Phosphorus Alafia R at Lithia",-7.791,NA
"Phosphorus Alafia R at Lithia",-7.79,NA
"Phosphorus Alafia R at Lithia",-7.789,NA
"Phosphorus Alafia R at Lithia",-7.788,NA
"Phosphorus Alafia R at Lithia",-7.787,NA
"Phosphorus Alafia R at Lithia",-7.786,NA
"Phosphorus Alafia R at Lithia",-7.785,NA
"Phosphorus Alafia R at Lithia",-7.784,NA
"Phosphorus Alafia R at Lithia",-7.783,NA
"Phosphorus Alafia R at Lithia",-7.782,NA
"Phosphorus Alafia R at Lithia",-7.781,NA
"Phosphorus Alafia R at Lithia",-7.78,NA
"Phosphorus Alafia R at Lithia",-7.779,NA
"Phosphorus Alafia R at Lithia",-7.778,NA
"Phosphorus Alafia R at Lithia",-7.777,NA
"Phosphorus Alafia R at Lithia",-7.776,NA
"Phosphorus Alafia R at Lithia",-7.775,NA
"Phosphorus Alafia R at Lithia",-7.774,NA
"Phosphorus Alafia R at Lithia",-7.773,NA
"Phosphorus Alafia R at Lithia",-7.772,NA
"Phosphorus Alafia R at Lithia",-7.771,NA
"Phosphorus Alafia R at Lithia",-7.77,NA
"Phosphorus Alafia R at Lithia",-7.769,NA
"Phosphorus Alafia R at Lithia",-7.768,NA
"Phosphorus Alafia R at Lithia",-7.767,NA
"Phosphorus Alafia R at Lithia",-7.766,NA
"Phosphorus Alafia R at Lithia",-7.765,NA
"Phosphorus Alafia R at Lithia",-7.764,NA
"Phosphorus Alafia R at Lithia",-7.763,NA
"Phosphorus Alafia R at Lithia",-7.762,NA
"Phosphorus Alafia R at Lithia",-7.761,NA
"Phosphorus Alafia R at Lithia",-7.76,NA
"Phosphorus Alafia R at Lithia",-7.759,NA
"Phosphorus Alafia R at Lithia",-7.758,NA
"Phosphorus Alafia R at Lithia",-7.757,NA
"Phosphorus Alafia R at Lithia",-7.756,NA
"Phosphorus Alafia R at Lithia",-7.755,NA
"Phosphorus Alafia R at Lithia",-7.754,NA
"Phosphorus Alafia R at Lithia",-7.753,NA
"Phosphorus Alafia R at Lithia",-7.752,NA
"Phosphorus Alafia R at Lithia",-7.751,NA
"Phosphorus Alafia R at Lithia",-7.75,NA
"Phosphorus Alafia R at Lithia",-7.749,NA
"Phosphorus Alafia R at Lithia",-7.748,NA
"Phosphorus Alafia R at Lithia",-7.747,NA
"Phosphorus Alafia R at Lithia",-7.746,NA
"Phosphorus Alafia R at Lithia",-7.745,NA
"Phosphorus Alafia R at Lithia",-7.744,NA
"Phosphorus Alafia R at Lithia",-7.743,NA
"Phosphorus Alafia R at Lithia",-7.742,NA
"Phosphorus Alafia R at Lithia",-7.741,NA
"Phosphorus Alafia R at Lithia",-7.74,NA
"Phosphorus Alafia R at Lithia",-7.739,NA
"Phosphorus Alafia R at Lithia",-7.738,NA
"Phosphorus Alafia R at Lithia",-7.737,NA
"Phosphorus Alafia R at Lithia",-7.736,NA
"Phosphorus Alafia R at Lithia",-7.735,NA
"Phosphorus Alafia R at Lithia",-7.734,NA
"Phosphorus Alafia R at Lithia",-7.733,NA
"Phosphorus Alafia R at Lithia",-7.732,NA
"Phosphorus Alafia R at Lithia",-7.731,NA
"Phosphorus Alafia R at Lithia",-7.73,NA
"Phosphorus Alafia R at Lithia",-7.729,NA
"Phosphorus Alafia R at Lithia",-7.728,NA
"Phosphorus Alafia R at Lithia",-7.727,NA
"Phosphorus Alafia R at Lithia",-7.726,NA
"Phosphorus Alafia R at Lithia",-7.725,NA
"Phosphorus Alafia R at Lithia",-7.724,NA
"Phosphorus Alafia R at Lithia",-7.723,NA
"Phosphorus Alafia R at Lithia",-7.722,NA
"Phosphorus Alafia R at Lithia",-7.721,NA
"Phosphorus Alafia R at Lithia",-7.72,NA
"Phosphorus Alafia R at Lithia",-7.719,NA
"Phosphorus Alafia R at Lithia",-7.718,NA
"Phosphorus Alafia R at Lithia",-7.717,NA
"Phosphorus Alafia R at Lithia",-7.716,NA
"Phosphorus Alafia R at Lithia",-7.715,NA
"Phosphorus Alafia R at Lithia",-7.714,NA
"Phosphorus Alafia R at Lithia",-7.713,NA
"Phosphorus Alafia R at Lithia",-7.712,NA
"Phosphorus Alafia R at Lithia",-7.711,NA
"Phosphorus Alafia R at Lithia",-7.71,NA
"Phosphorus Alafia R at Lithia",-7.709,NA
"Phosphorus Alafia R at Lithia",-7.708,NA
"Phosphorus Alafia R at Lithia",-7.707,NA
"Phosphorus Alafia R at Lithia",-7.706,NA
"Phosphorus Alafia R at Lithia",-7.705,NA
"Phosphorus Alafia R at Lithia",-7.704,NA
"Phosphorus Alafia R at Lithia",-7.703,NA
"Phosphorus Alafia R at Lithia",-7.702,NA
"Phosphorus Alafia R at Lithia",-7.701,NA
"Phosphorus Alafia R at Lithia",-7.7,NA
"Phosphorus Alafia R at Lithia",-7.699,NA
"Phosphorus Alafia R at Lithia",-7.698,NA
"Phosphorus Alafia R at Lithia",-7.697,NA
"Phosphorus Alafia R at Lithia",-7.696,NA
"Phosphorus Alafia R at Lithia",-7.695,NA
"Phosphorus Alafia R at Lithia",-7.694,NA
"Phosphorus Alafia R at Lithia",-7.693,NA
"Phosphorus Alafia R at Lithia",-7.692,NA
"Phosphorus Alafia R at Lithia",-7.691,NA
"Phosphorus Alafia R at Lithia",-7.69,NA
"Phosphorus Alafia R at Lithia",-7.689,NA
"Phosphorus Alafia R at Lithia",-7.688,NA
"Phosphorus Alafia R at Lithia",-7.687,NA
"Phosphorus Alafia R at Lithia",-7.686,NA
"Phosphorus Alafia R at Lithia",-7.685,NA
"Phosphorus Alafia R at Lithia",-7.684,NA
"Phosphorus Alafia R at Lithia",-7.683,NA
"Phosphorus Alafia R at Lithia",-7.682,NA
"Phosphorus Alafia R at Lithia",-7.681,NA
"Phosphorus Alafia R at Lithia",-7.68,NA
"Phosphorus Alafia R at Lithia",-7.679,NA
"Phosphorus Alafia R at Lithia",-7.678,NA
"Phosphorus Alafia R at Lithia",-7.677,NA
"Phosphorus Alafia R at Lithia",-7.676,NA
"Phosphorus Alafia R at Lithia",-7.675,NA
"Phosphorus Alafia R at Lithia",-7.674,NA
"Phosphorus Alafia R at Lithia",-7.673,NA
"Phosphorus Alafia R at Lithia",-7.672,NA
"Phosphorus Alafia R at Lithia",-7.671,NA
"Phosphorus Alafia R at Lithia",-7.67,NA
"Phosphorus Alafia R at Lithia",-7.669,NA
"Phosphorus Alafia R at Lithia",-7.668,NA
"Phosphorus Alafia R at Lithia",-7.667,NA
"Phosphorus Alafia R at Lithia",-7.666,NA
"Phosphorus Alafia R at Lithia",-7.665,NA
"Phosphorus Alafia R at Lithia",-7.664,NA
"Phosphorus Alafia R at Lithia",-7.663,NA
"Phosphorus Alafia R at Lithia",-7.662,NA
"Phosphorus Alafia R at Lithia",-7.661,NA
"Phosphorus Alafia R at Lithia",-7.66,NA
"Phosphorus Alafia R at Lithia",-7.659,NA
"Phosphorus Alafia R at Lithia",-7.658,NA
"Phosphorus Alafia R at Lithia",-7.657,NA
"Phosphorus Alafia R at Lithia",-7.656,NA
"Phosphorus Alafia R at Lithia",-7.655,NA
"Phosphorus Alafia R at Lithia",-7.654,NA
"Phosphorus Alafia R at Lithia",-7.653,NA
"Phosphorus Alafia R at Lithia",-7.652,NA
"Phosphorus Alafia R at Lithia",-7.651,NA
"Phosphorus Alafia R at Lithia",-7.65,NA
"Phosphorus Alafia R at Lithia",-7.649,NA
"Phosphorus Alafia R at Lithia",-7.648,NA
"Phosphorus Alafia R at Lithia",-7.647,NA
"Phosphorus Alafia R at Lithia",-7.646,NA
"Phosphorus Alafia R at Lithia",-7.645,NA
"Phosphorus Alafia R at Lithia",-7.644,NA
"Phosphorus Alafia R at Lithia",-7.643,NA
"Phosphorus Alafia R at Lithia",-7.642,NA
"Phosphorus Alafia R at Lithia",-7.641,NA
"Phosphorus Alafia R at Lithia",-7.64,NA
"Phosphorus Alafia R at Lithia",-7.639,NA
"Phosphorus Alafia R at Lithia",-7.638,NA
"Phosphorus Alafia R at Lithia",-7.637,NA
"Phosphorus Alafia R at Lithia",-7.636,NA
"Phosphorus Alafia R at Lithia",-7.635,NA
"Phosphorus Alafia R at Lithia",-7.634,NA
"Phosphorus Alafia R at Lithia",-7.633,NA
"Phosphorus Alafia R at Lithia",-7.632,NA
"Phosphorus Alafia R at Lithia",-7.631,NA
"Phosphorus Alafia R at Lithia",-7.63,NA
"Phosphorus Alafia R at Lithia",-7.629,NA
"Phosphorus Alafia R at Lithia",-7.628,NA
"Phosphorus Alafia R at Lithia",-7.627,NA
"Phosphorus Alafia R at Lithia",-7.626,NA
"Phosphorus Alafia R at Lithia",-7.625,NA
"Phosphorus Alafia R at Lithia",-7.624,NA
"Phosphorus Alafia R at Lithia",-7.623,NA
"Phosphorus Alafia R at Lithia",-7.622,NA
"Phosphorus Alafia R at Lithia",-7.621,NA
"Phosphorus Alafia R at Lithia",-7.62,NA
"Phosphorus Alafia R at Lithia",-7.619,NA
"Phosphorus Alafia R at Lithia",-7.618,NA
"Phosphorus Alafia R at Lithia",-7.617,NA
"Phosphorus Alafia R at Lithia",-7.616,NA
"Phosphorus Alafia R at Lithia",-7.615,NA
"Phosphorus Alafia R at Lithia",-7.614,NA
"Phosphorus Alafia R at Lithia",-7.613,NA
"Phosphorus Alafia R at Lithia",-7.612,NA
"Phosphorus Alafia R at Lithia",-7.611,NA
"Phosphorus Alafia R at Lithia",-7.61,NA
"Phosphorus Alafia R at Lithia",-7.609,NA
"Phosphorus Alafia R at Lithia",-7.608,NA
"Phosphorus Alafia R at Lithia",-7.607,NA
"Phosphorus Alafia R at Lithia",-7.606,NA
"Phosphorus Alafia R at Lithia",-7.605,NA
"Phosphorus Alafia R at Lithia",-7.604,NA
"Phosphorus Alafia R at Lithia",-7.603,NA
"Phosphorus Alafia R at Lithia",-7.602,NA
"Phosphorus Alafia R at Lithia",-7.601,NA
"Phosphorus Alafia R at Lithia",-7.6,NA
"Phosphorus Alafia R at Lithia",-7.599,NA
"Phosphorus Alafia R at Lithia",-7.598,NA
"Phosphorus Alafia R at Lithia",-7.597,NA
"Phosphorus Alafia R at Lithia",-7.596,NA
"Phosphorus Alafia R at Lithia",-7.595,NA
"Phosphorus Alafia R at Lithia",-7.594,NA
"Phosphorus Alafia R at Lithia",-7.593,NA
"Phosphorus Alafia R at Lithia",-7.592,NA
"Phosphorus Alafia R at Lithia",-7.591,NA
"Phosphorus Alafia R at Lithia",-7.59,NA
"Phosphorus Alafia R at Lithia",-7.589,NA
"Phosphorus Alafia R at Lithia",-7.588,NA
"Phosphorus Alafia R at Lithia",-7.587,NA
"Phosphorus Alafia R at Lithia",-7.586,NA
"Phosphorus Alafia R at Lithia",-7.585,NA
"Phosphorus Alafia R at Lithia",-7.584,NA
"Phosphorus Alafia R at Lithia",-7.583,NA
"Phosphorus Alafia R at Lithia",-7.582,NA
"Phosphorus Alafia R at Lithia",-7.581,NA
"Phosphorus Alafia R at Lithia",-7.58,NA
"Phosphorus Alafia R at Lithia",-7.579,NA
"Phosphorus Alafia R at Lithia",-7.578,NA
"Phosphorus Alafia R at Lithia",-7.577,NA
"Phosphorus Alafia R at Lithia",-7.576,NA
"Phosphorus Alafia R at Lithia",-7.575,NA
"Phosphorus Alafia R at Lithia",-7.574,NA
"Phosphorus Alafia R at Lithia",-7.573,NA
"Phosphorus Alafia R at Lithia",-7.572,NA
"Phosphorus Alafia R at Lithia",-7.571,NA
"Phosphorus Alafia R at Lithia",-7.57,NA
"Phosphorus Alafia R at Lithia",-7.569,NA
"Phosphorus Alafia R at Lithia",-7.568,NA
"Phosphorus Alafia R at Lithia",-7.567,NA
"Phosphorus Alafia R at Lithia",-7.566,NA
"Phosphorus Alafia R at Lithia",-7.565,NA
"Phosphorus Alafia R at Lithia",-7.564,NA
"Phosphorus Alafia R at Lithia",-7.563,NA
"Phosphorus Alafia R at Lithia",-7.562,NA
"Phosphorus Alafia R at Lithia",-7.561,NA
"Phosphorus Alafia R at Lithia",-7.56,NA
"Phosphorus Alafia R at Lithia",-7.559,NA
"Phosphorus Alafia R at Lithia",-7.558,NA
"Phosphorus Alafia R at Lithia",-7.557,NA
"Phosphorus Alafia R at Lithia",-7.556,NA
"Phosphorus Alafia R at Lithia",-7.555,NA
"Phosphorus Alafia R at Lithia",-7.554,NA
"Phosphorus Alafia R at Lithia",-7.553,NA
"Phosphorus Alafia R at Lithia",-7.552,NA
"Phosphorus Alafia R at Lithia",-7.551,NA
"Phosphorus Alafia R at Lithia",-7.55,NA
"Phosphorus Alafia R at Lithia",-7.549,NA
"Phosphorus Alafia R at Lithia",-7.548,NA
"Phosphorus Alafia R at Lithia",-7.547,NA
