"date","Name","USGS","ANALYTE_GROUP2","remark","value"
2013-02-18,"Hillsborough R at Morris Br",2303330,"pH",NA,5.12
2013-02-25,"Alafia R at Bell Shoals",2301500,"Chlorophyll",NA,2.02
2013-02-25,"Alafia R at Bell Shoals",2301500,"Color",NA,17
2013-02-25,"Alafia R at Bell Shoals",2301500,"DO",NA,6.49
2013-02-25,"Alafia R at Bell Shoals",2301500,"Fluoride",NA,0.92
2013-02-25,"Alafia R at Bell Shoals",2301500,"Nitrogen",NA,1.816
2013-02-25,"Alafia R at Bell Shoals",2301500,"Phosphorus",NA,0.544
2013-02-25,"Alafia R at Bell Shoals",2301500,"Salinity",NA,0.24
2013-02-25,"Alafia R at Bell Shoals",2301500,"TOC",NA,5.8
2013-02-25,"Alafia R at Bell Shoals",2301500,"Temperature",NA,22.64
2013-02-25,"Alafia R at Bell Shoals",2301500,"Turbidity",NA,1.2
2013-02-25,"Alafia R at Bell Shoals",2301500,"pH",NA,6.93
2013-02-25,"Alafia R at Lithia",2301500,"Chlorophyll",NA,2.02
2013-02-25,"Alafia R at Lithia",2301500,"Color",NA,30.1
2013-02-25,"Alafia R at Lithia",2301500,"DO",NA,7.92
2013-02-25,"Alafia R at Lithia",2301500,"Fluoride",NA,1.54
2013-02-25,"Alafia R at Lithia",2301500,"Nitrogen",NA,1.481
2013-02-25,"Alafia R at Lithia",2301500,"Phosphorus",NA,1.042
2013-02-25,"Alafia R at Lithia",2301500,"Salinity",NA,0.24
2013-02-25,"Alafia R at Lithia",2301500,"TOC",NA,10.4
2013-02-25,"Alafia R at Lithia",2301500,"Temperature",NA,21.32
2013-02-25,"Alafia R at Lithia",2301500,"Turbidity",NA,1.3
2013-02-25,"Alafia R at Lithia",2301500,"pH",NA,7.35
2013-03-06,"Alafia R at Lithia",2301500,"Alkalinity",NA,150
2013-03-06,"Alafia R at Lithia",2301500,"Chlorophyll",NA,0.62
2013-03-06,"Alafia R at Lithia",2301500,"Color",NA,42
2013-03-06,"Alafia R at Lithia",2301500,"DO",NA,10.355
2013-03-06,"Alafia R at Lithia",2301500,"Fluoride",NA,1.5
2013-03-06,"Alafia R at Lithia",2301500,"Phosphorus",NA,1.1
2013-03-06,"Alafia R at Lithia",2301500,"TOC",NA,12
2013-03-06,"Alafia R at Lithia",2301500,"Temperature",NA,14.45
2013-03-06,"Alafia R at Lithia",2301500,"Turbidity",NA,1
2013-03-06,"Alafia R at Lithia",2301500,"pH",NA,7.9
2013-03-20,"Hillsborough R at Morris Br",2303330,"Chlorophyll",NA,3.6
2013-03-20,"Hillsborough R at Morris Br",2303330,"Color",NA,6.8
2013-03-20,"Hillsborough R at Morris Br",2303330,"DO",NA,6.33
2013-03-20,"Hillsborough R at Morris Br",2303330,"Fluoride",NA,0.2
2013-03-20,"Hillsborough R at Morris Br",2303330,"Nitrogen",NA,1.539
2013-03-20,"Hillsborough R at Morris Br",2303330,"Phosphorus",NA,0.07
2013-03-20,"Hillsborough R at Morris Br",2303330,"Salinity",NA,0.19
2013-03-20,"Hillsborough R at Morris Br",2303330,"TOC",NA,2.1
2013-03-20,"Hillsborough R at Morris Br",2303330,"Temperature",NA,20
2013-03-20,"Hillsborough R at Morris Br",2303330,"Turbidity",NA,2.7
2013-03-20,"Hillsborough R at Morris Br",2303330,"pH",NA,6.61
2013-03-26,"Alafia R at Bell Shoals",2301500,"Chlorophyll",NA,2.02
2013-03-26,"Alafia R at Bell Shoals",2301500,"Color",NA,23.4
2013-03-26,"Alafia R at Bell Shoals",2301500,"DO",NA,7.91
2013-03-26,"Alafia R at Bell Shoals",2301500,"Fluoride",NA,0.97
2013-03-26,"Alafia R at Bell Shoals",2301500,"Nitrogen",NA,2.306
2013-03-26,"Alafia R at Bell Shoals",2301500,"Phosphorus",NA,0.619
2013-03-26,"Alafia R at Bell Shoals",2301500,"Salinity",NA,0.2275
2013-03-26,"Alafia R at Bell Shoals",2301500,"TOC",NA,7.3
2013-03-26,"Alafia R at Bell Shoals",2301500,"Temperature",NA,18.6325
2013-03-26,"Alafia R at Bell Shoals",2301500,"Turbidity",NA,1.1
2013-03-26,"Alafia R at Bell Shoals",2301500,"pH",NA,7.7975
2013-03-26,"Alafia R at Lithia",2301500,"Chlorophyll",NA,2.02
2013-03-26,"Alafia R at Lithia",2301500,"Color",NA,34.2
2013-03-26,"Alafia R at Lithia",2301500,"DO",NA,8.8
2013-03-26,"Alafia R at Lithia",2301500,"Fluoride",NA,1.5
2013-03-26,"Alafia R at Lithia",2301500,"Nitrogen",NA,1.721
2013-03-26,"Alafia R at Lithia",2301500,"Phosphorus",NA,1.028
2013-03-26,"Alafia R at Lithia",2301500,"Salinity",NA,0.25
2013-03-26,"Alafia R at Lithia",2301500,"TOC",NA,11.9
2013-03-26,"Alafia R at Lithia",2301500,"Temperature",NA,17.93
2013-03-26,"Alafia R at Lithia",2301500,"Turbidity",NA,1.7
2013-03-26,"Alafia R at Lithia",2301500,"pH",NA,7.92
2013-04-03,"Alafia R at Lithia",2301500,"Alkalinity",NA,167
2013-04-03,"Alafia R at Lithia",2301500,"Chlorophyll",NA,1.2
2013-04-03,"Alafia R at Lithia",2301500,"Color",NA,41
2013-04-03,"Alafia R at Lithia",2301500,"DO",NA,8.81
2013-04-03,"Alafia R at Lithia",2301500,"Fluoride",NA,2
2013-04-03,"Alafia R at Lithia",2301500,"Phosphorus",NA,1.1
2013-04-03,"Alafia R at Lithia",2301500,"TOC",NA,13
2013-04-03,"Alafia R at Lithia",2301500,"Temperature",NA,20.1
2013-04-03,"Alafia R at Lithia",2301500,"Turbidity",NA,1.2
2013-04-03,"Alafia R at Lithia",2301500,"pH",NA,8
2013-04-10,"Hillsborough R at Morris Br",2303330,"Chlorophyll",NA,13.8
2013-04-10,"Hillsborough R at Morris Br",2303330,"Color",NA,9.9
2013-04-10,"Hillsborough R at Morris Br",2303330,"DO",NA,5.98
2013-04-10,"Hillsborough R at Morris Br",2303330,"Fluoride",NA,0.2
2013-04-10,"Hillsborough R at Morris Br",2303330,"Nitrogen",NA,1.573
2013-04-10,"Hillsborough R at Morris Br",2303330,"Phosphorus",NA,0.08
2013-04-10,"Hillsborough R at Morris Br",2303330,"Salinity",NA,0.18
2013-04-10,"Hillsborough R at Morris Br",2303330,"TOC",NA,3.5
2013-04-10,"Hillsborough R at Morris Br",2303330,"Temperature",NA,21.19
2013-04-10,"Hillsborough R at Morris Br",2303330,"Turbidity",NA,4
2013-04-10,"Hillsborough R at Morris Br",2303330,"pH",NA,7.79
2013-04-23,"Alafia R at Bell Shoals",2301500,"Chlorophyll",NA,2.02
2013-04-23,"Alafia R at Bell Shoals",2301500,"Color",NA,31.9
2013-04-23,"Alafia R at Bell Shoals",2301500,"DO",NA,8.94
2013-04-23,"Alafia R at Bell Shoals",2301500,"Fluoride",NA,1.26
2013-04-23,"Alafia R at Bell Shoals",2301500,"Nitrogen",NA,1.873
2013-04-23,"Alafia R at Bell Shoals",2301500,"Phosphorus",NA,0.736
2013-04-23,"Alafia R at Bell Shoals",2301500,"Salinity",NA,0.26
2013-04-23,"Alafia R at Bell Shoals",2301500,"TOC",NA,9.6
2013-04-23,"Alafia R at Bell Shoals",2301500,"Temperature",NA,23.11
2013-04-23,"Alafia R at Bell Shoals",2301500,"Turbidity",NA,0.9
2013-04-23,"Alafia R at Bell Shoals",2301500,"pH",NA,7.7875
2013-04-23,"Alafia R at Lithia",2301500,"Chlorophyll",NA,3.1
2013-04-23,"Alafia R at Lithia",2301500,"Color",NA,51.2
2013-04-23,"Alafia R at Lithia",2301500,"DO",NA,9.28
2013-04-23,"Alafia R at Lithia",2301500,"Fluoride",NA,1.9
2013-04-23,"Alafia R at Lithia",2301500,"Nitrogen",NA,1.401
2013-04-23,"Alafia R at Lithia",2301500,"Phosphorus",NA,1.187
2013-04-23,"Alafia R at Lithia",2301500,"Salinity",NA,0.27
2013-04-23,"Alafia R at Lithia",2301500,"TOC",NA,14.9
2013-04-23,"Alafia R at Lithia",2301500,"Temperature",NA,22.84
2013-04-23,"Alafia R at Lithia",2301500,"Turbidity",NA,2
2013-04-23,"Alafia R at Lithia",2301500,"pH",NA,7.86
2013-05-08,"Alafia R at Lithia",2301500,"Alkalinity",NA,130
2013-05-08,"Alafia R at Lithia",2301500,"Chlorophyll",NA,1.5
2013-05-08,"Alafia R at Lithia",2301500,"Color",NA,76
2013-05-08,"Alafia R at Lithia",2301500,"DO",NA,7.81
2013-05-08,"Alafia R at Lithia",2301500,"Fluoride",NA,1.7
2013-05-08,"Alafia R at Lithia",2301500,"Phosphorus",NA,2.1
2013-05-08,"Alafia R at Lithia",2301500,"TOC",NA,16
2013-05-08,"Alafia R at Lithia",2301500,"Temperature",NA,20.65
2013-05-08,"Alafia R at Lithia",2301500,"Turbidity",NA,1.9
2013-05-08,"Alafia R at Lithia",2301500,"pH",NA,7.8
2013-05-20,"Hillsborough R at Morris Br",2303330,"Chlorophyll",NA,16.12
2013-05-20,"Hillsborough R at Morris Br",2303330,"Color",NA,7.6
2013-05-20,"Hillsborough R at Morris Br",2303330,"DO",NA,5.58
2013-05-20,"Hillsborough R at Morris Br",2303330,"Fluoride",NA,0.19
2013-05-20,"Hillsborough R at Morris Br",2303330,"Nitrogen",NA,1.454
2013-05-20,"Hillsborough R at Morris Br",2303330,"Phosphorus",NA,0.071
2013-05-20,"Hillsborough R at Morris Br",2303330,"Salinity",NA,0.18
2013-05-20,"Hillsborough R at Morris Br",2303330,"TOC",NA,3
2013-05-20,"Hillsborough R at Morris Br",2303330,"Temperature",NA,25.88
2013-05-20,"Hillsborough R at Morris Br",2303330,"Turbidity",NA,3.7
2013-05-20,"Hillsborough R at Morris Br",2303330,"pH",NA,7.79
2013-05-29,"Alafia R at Bell Shoals",2301500,"Chlorophyll",NA,2.02
2013-05-29,"Alafia R at Bell Shoals",2301500,"Color",NA,19.2
2013-05-29,"Alafia R at Bell Shoals",2301500,"DO",NA,5.4325
2013-05-29,"Alafia R at Bell Shoals",2301500,"Fluoride",NA,1.1
2013-05-29,"Alafia R at Bell Shoals",2301500,"Nitrogen",NA,1.973
2013-05-29,"Alafia R at Bell Shoals",2301500,"Phosphorus",NA,0.998
2013-05-29,"Alafia R at Bell Shoals",2301500,"Salinity",NA,0.32
2013-05-29,"Alafia R at Bell Shoals",2301500,"TOC",NA,6.8
2013-05-29,"Alafia R at Bell Shoals",2301500,"Temperature",NA,24.99
2013-05-29,"Alafia R at Bell Shoals",2301500,"Turbidity",NA,1.1
2013-05-29,"Alafia R at Bell Shoals",2301500,"pH",NA,7.63
2013-05-29,"Alafia R at Lithia",2301500,"Chlorophyll",NA,2.02
2013-05-29,"Alafia R at Lithia",2301500,"Color",NA,33
2013-05-29,"Alafia R at Lithia",2301500,"DO",NA,7.47
2013-05-29,"Alafia R at Lithia",2301500,"Fluoride",NA,1.78
2013-05-29,"Alafia R at Lithia",2301500,"Nitrogen",NA,1.013
2013-05-29,"Alafia R at Lithia",2301500,"Phosphorus",NA,1.951
2013-05-29,"Alafia R at Lithia",2301500,"Salinity",NA,0.41
2013-05-29,"Alafia R at Lithia",2301500,"TOC",NA,12.2
2013-05-29,"Alafia R at Lithia",2301500,"Temperature",NA,24.76
2013-05-29,"Alafia R at Lithia",2301500,"Turbidity",NA,1.4
2013-05-29,"Alafia R at Lithia",2301500,"pH",NA,7.88
2013-06-04,"Alafia R at Lithia",2301500,"Alkalinity",NA,109
2013-06-04,"Alafia R at Lithia",2301500,"Chlorophyll",NA,2.3
2013-06-04,"Alafia R at Lithia",2301500,"Color",NA,56
2013-06-04,"Alafia R at Lithia",2301500,"DO",NA,7.17
2013-06-04,"Alafia R at Lithia",2301500,"Fluoride",NA,1.1
2013-06-04,"Alafia R at Lithia",2301500,"Phosphorus",NA,1.5
2013-06-04,"Alafia R at Lithia",2301500,"TOC",NA,12
2013-06-04,"Alafia R at Lithia",2301500,"Temperature",NA,25.4
2013-06-04,"Alafia R at Lithia",2301500,"Turbidity",NA,3.6
2013-06-04,"Alafia R at Lithia",2301500,"pH",NA,7.7
2013-06-17,"Hillsborough R at Morris Br",2303330,"Chlorophyll",NA,43.4
2013-06-17,"Hillsborough R at Morris Br",2303330,"Color",NA,76.5
2013-06-17,"Hillsborough R at Morris Br",2303330,"DO",NA,2.2125
2013-06-17,"Hillsborough R at Morris Br",2303330,"Fluoride",NA,0.29
2013-06-17,"Hillsborough R at Morris Br",2303330,"Nitrogen",NA,1.828
2013-06-17,"Hillsborough R at Morris Br",2303330,"Phosphorus",NA,0.316
2013-06-17,"Hillsborough R at Morris Br",2303330,"Salinity",NA,0.14
2013-06-17,"Hillsborough R at Morris Br",2303330,"TOC",NA,17.9
2013-06-17,"Hillsborough R at Morris Br",2303330,"Temperature",NA,26.16
2013-06-17,"Hillsborough R at Morris Br",2303330,"Turbidity",NA,7.8
2013-06-17,"Hillsborough R at Morris Br",2303330,"pH",NA,6.865
2013-06-24,"Alafia R at Bell Shoals",2301500,"Chlorophyll",NA,3.46
2013-06-24,"Alafia R at Bell Shoals",2301500,"Color",NA,53.6
2013-06-24,"Alafia R at Bell Shoals",2301500,"DO",NA,5.575
2013-06-24,"Alafia R at Bell Shoals",2301500,"Fluoride",NA,0.88
2013-06-24,"Alafia R at Bell Shoals",2301500,"Nitrogen",NA,1.657
2013-06-24,"Alafia R at Bell Shoals",2301500,"Phosphorus",NA,1.049
2013-06-24,"Alafia R at Bell Shoals",2301500,"Salinity",NA,0.24
2013-06-24,"Alafia R at Bell Shoals",2301500,"TOC",NA,13
2013-06-24,"Alafia R at Bell Shoals",2301500,"Temperature",NA,25.72
2013-06-24,"Alafia R at Bell Shoals",2301500,"Turbidity",NA,3.3
2013-06-24,"Alafia R at Bell Shoals",2301500,"pH",NA,7.41
2013-06-24,"Alafia R at Lithia",2301500,"Chlorophyll",NA,4.06
2013-06-24,"Alafia R at Lithia",2301500,"Color",NA,67.2
2013-06-24,"Alafia R at Lithia",2301500,"DO",NA,6.34
2013-06-24,"Alafia R at Lithia",2301500,"Fluoride",NA,1.25
2013-06-24,"Alafia R at Lithia",2301500,"Nitrogen",NA,1.29
2013-06-24,"Alafia R at Lithia",2301500,"Phosphorus",NA,1.513
2013-06-24,"Alafia R at Lithia",2301500,"Salinity",NA,0.27
2013-06-24,"Alafia R at Lithia",2301500,"TOC",NA,16.7
2013-06-24,"Alafia R at Lithia",2301500,"Temperature",NA,26.4
2013-06-24,"Alafia R at Lithia",2301500,"Turbidity",NA,4.8
2013-06-24,"Alafia R at Lithia",2301500,"pH",NA,7.54
2013-07-10,"Alafia R at Lithia",2301500,"Alkalinity",NA,92
2013-07-10,"Alafia R at Lithia",2301500,"Chlorophyll",NA,3.2
2013-07-10,"Alafia R at Lithia",2301500,"Color",NA,160
2013-07-10,"Alafia R at Lithia",2301500,"DO",NA,7.275
2013-07-10,"Alafia R at Lithia",2301500,"Fluoride",NA,1.5
2013-07-10,"Alafia R at Lithia",2301500,"Phosphorus",NA,1.9
2013-07-10,"Alafia R at Lithia",2301500,"TOC",NA,20
2013-07-10,"Alafia R at Lithia",2301500,"Temperature",NA,26.5
2013-07-10,"Alafia R at Lithia",2301500,"Turbidity",NA,8.5
2013-07-10,"Alafia R at Lithia",2301500,"pH",NA,7.35
2013-07-17,"Hillsborough R at Morris Br",2303330,"Chlorophyll",NA,28.62
2013-07-17,"Hillsborough R at Morris Br",2303330,"Color",NA,82.9
2013-07-17,"Hillsborough R at Morris Br",2303330,"DO",NA,1.7475
2013-07-17,"Hillsborough R at Morris Br",2303330,"Fluoride",NA,0.27
2013-07-17,"Hillsborough R at Morris Br",2303330,"Nitrogen",NA,1.284
2013-07-17,"Hillsborough R at Morris Br",2303330,"Phosphorus",NA,0.328
2013-07-17,"Hillsborough R at Morris Br",2303330,"Salinity",NA,0.1225
2013-07-17,"Hillsborough R at Morris Br",2303330,"TOC",NA,17.2
2013-07-17,"Hillsborough R at Morris Br",2303330,"Temperature",NA,24.8775
2013-07-17,"Hillsborough R at Morris Br",2303330,"Turbidity",NA,5
2013-07-17,"Hillsborough R at Morris Br",2303330,"pH",NA,6.7375
2013-07-23,"Alafia R at Bell Shoals",2301500,"Chlorophyll",NA,12.82
2013-07-23,"Alafia R at Bell Shoals",2301500,"Color",NA,98.4
2013-07-23,"Alafia R at Bell Shoals",2301500,"DO",NA,5.755
2013-07-23,"Alafia R at Bell Shoals",2301500,"Fluoride",NA,1.11
2013-07-23,"Alafia R at Bell Shoals",2301500,"Nitrogen",NA,1.251
2013-07-23,"Alafia R at Bell Shoals",2301500,"Phosphorus",NA,1.222
2013-07-23,"Alafia R at Bell Shoals",2301500,"Salinity",NA,0.14
2013-07-23,"Alafia R at Bell Shoals",2301500,"TOC",NA,19.6
2013-07-23,"Alafia R at Bell Shoals",2301500,"Temperature",NA,26.1025
2013-07-23,"Alafia R at Bell Shoals",2301500,"Turbidity",NA,7.4
2013-07-23,"Alafia R at Bell Shoals",2301500,"pH",NA,7.1225
2013-07-23,"Alafia R at Lithia",2301500,"Chlorophyll",NA,13.86
2013-07-23,"Alafia R at Lithia",2301500,"Color",NA,105.9
2013-07-23,"Alafia R at Lithia",2301500,"DO",NA,5.7725
2013-07-23,"Alafia R at Lithia",2301500,"Fluoride",NA,1.21
2013-07-23,"Alafia R at Lithia",2301500,"Nitrogen",NA,1.394
2013-07-23,"Alafia R at Lithia",2301500,"Phosphorus",NA,1.343
2013-07-23,"Alafia R at Lithia",2301500,"Salinity",NA,0.14
2013-07-23,"Alafia R at Lithia",2301500,"TOC",NA,19.9
2013-07-23,"Alafia R at Lithia",2301500,"Temperature",NA,26.17
2013-07-23,"Alafia R at Lithia",2301500,"Turbidity",NA,6.9
2013-07-23,"Alafia R at Lithia",2301500,"pH",NA,7.0975
2013-08-06,"Alafia R at Lithia",2301500,"Alkalinity",NA,85
2013-08-06,"Alafia R at Lithia",2301500,"Chlorophyll",NA,10
2013-08-06,"Alafia R at Lithia",2301500,"Color",NA,130
2013-08-06,"Alafia R at Lithia",2301500,"DO",NA,6.31
2013-08-06,"Alafia R at Lithia",2301500,"Fluoride",NA,1.4
2013-08-06,"Alafia R at Lithia",2301500,"Phosphorus",NA,1.7
2013-08-06,"Alafia R at Lithia",2301500,"TOC",NA,17
2013-08-06,"Alafia R at Lithia",2301500,"Temperature",NA,27.4
2013-08-06,"Alafia R at Lithia",2301500,"Turbidity",NA,4.8
2013-08-06,"Alafia R at Lithia",2301500,"pH",NA,7.35
2013-08-21,"Hillsborough R at Morris Br",2303330,"Chlorophyll",NA,7.62
2013-08-21,"Hillsborough R at Morris Br",2303330,"Color",NA,75.2
2013-08-21,"Hillsborough R at Morris Br",2303330,"DO",NA,2.6775
2013-08-21,"Hillsborough R at Morris Br",2303330,"Fluoride",NA,0.27
2013-08-21,"Hillsborough R at Morris Br",2303330,"Nitrogen",NA,1.055
2013-08-21,"Hillsborough R at Morris Br",2303330,"Phosphorus",NA,0.313
2013-08-21,"Hillsborough R at Morris Br",2303330,"Salinity",NA,0.1275
2013-08-21,"Hillsborough R at Morris Br",2303330,"TOC",NA,14.5
2013-08-21,"Hillsborough R at Morris Br",2303330,"Temperature",NA,25.865
2013-08-21,"Hillsborough R at Morris Br",2303330,"Turbidity",NA,2.8
2013-08-21,"Hillsborough R at Morris Br",2303330,"pH",NA,7.055
2013-08-26,"Alafia R at Bell Shoals",2301500,"Chlorophyll",NA,10.24
2013-08-26,"Alafia R at Bell Shoals",2301500,"Color",NA,95.8
2013-08-26,"Alafia R at Bell Shoals",2301500,"DO",NA,5.7025
2013-08-26,"Alafia R at Bell Shoals",2301500,"Fluoride",NA,0.87
2013-08-26,"Alafia R at Bell Shoals",2301500,"Nitrogen",NA,1.25
2013-08-26,"Alafia R at Bell Shoals",2301500,"Phosphorus",NA,1.114
2013-08-26,"Alafia R at Bell Shoals",2301500,"Salinity",NA,0.12
2013-08-26,"Alafia R at Bell Shoals",2301500,"TOC",NA,17.7
2013-08-26,"Alafia R at Bell Shoals",2301500,"Temperature",NA,26.01
2013-08-26,"Alafia R at Bell Shoals",2301500,"Turbidity",NA,9.9
2013-08-26,"Alafia R at Bell Shoals",2301500,"pH",NA,7.165
2013-08-26,"Alafia R at Lithia",2301500,"Chlorophyll",NA,11.4
2013-08-26,"Alafia R at Lithia",2301500,"Color",NA,104.7
2013-08-26,"Alafia R at Lithia",2301500,"DO",NA,5.3425
2013-08-26,"Alafia R at Lithia",2301500,"Fluoride",NA,1.04
2013-08-26,"Alafia R at Lithia",2301500,"Nitrogen",NA,1.598
2013-08-26,"Alafia R at Lithia",2301500,"Phosphorus",NA,1.529
2013-08-26,"Alafia R at Lithia",2301500,"Salinity",NA,0.13
2013-08-26,"Alafia R at Lithia",2301500,"TOC",NA,17.6
2013-08-26,"Alafia R at Lithia",2301500,"Temperature",NA,26.17
2013-08-26,"Alafia R at Lithia",2301500,"Turbidity",NA,7.7
2013-08-26,"Alafia R at Lithia",2301500,"pH",NA,7.165
2013-09-09,"Alafia R at Lithia",2301500,"Alkalinity",NA,100
2013-09-09,"Alafia R at Lithia",2301500,"Chlorophyll",NA,4.4
2013-09-09,"Alafia R at Lithia",2301500,"Color",NA,100
2013-09-09,"Alafia R at Lithia",2301500,"DO",NA,6.48
2013-09-09,"Alafia R at Lithia",2301500,"Fluoride",NA,1.6
2013-09-09,"Alafia R at Lithia",2301500,"Phosphorus",NA,2
2013-09-09,"Alafia R at Lithia",2301500,"TOC",NA,16
2013-09-09,"Alafia R at Lithia",2301500,"Temperature",NA,26.3
2013-09-09,"Alafia R at Lithia",2301500,"Turbidity",NA,7.9
2013-09-09,"Alafia R at Lithia",2301500,"pH",NA,7.55
2013-09-18,"Hillsborough R at Morris Br",2303330,"Chlorophyll",NA,3.42
2013-09-18,"Hillsborough R at Morris Br",2303330,"Color",NA,89.6
2013-09-18,"Hillsborough R at Morris Br",2303330,"DO",NA,1.705
2013-09-18,"Hillsborough R at Morris Br",2303330,"Fluoride",NA,0.25
2013-09-18,"Hillsborough R at Morris Br",2303330,"Nitrogen",NA,0.964
2013-09-18,"Hillsborough R at Morris Br",2303330,"Phosphorus",NA,0.325
2013-09-18,"Hillsborough R at Morris Br",2303330,"Salinity",NA,0.11
2013-09-18,"Hillsborough R at Morris Br",2303330,"TOC",NA,15.8
2013-09-18,"Hillsborough R at Morris Br",2303330,"Temperature",NA,25.0325
2013-09-18,"Hillsborough R at Morris Br",2303330,"Turbidity",NA,2.1
2013-09-18,"Hillsborough R at Morris Br",2303330,"pH",NA,7.165
2013-09-24,"Alafia R at Bell Shoals",2301500,"Chlorophyll",NA,11.72
2013-09-24,"Alafia R at Bell Shoals",2301500,"Color",NA,91.7
2013-09-24,"Alafia R at Bell Shoals",2301500,"DO",NA,6.0775
2013-09-24,"Alafia R at Bell Shoals",2301500,"Fluoride",NA,1
2013-09-24,"Alafia R at Bell Shoals",2301500,"Nitrogen",NA,1.33
2013-09-24,"Alafia R at Bell Shoals",2301500,"Phosphorus",NA,1.515
